Tenant,Track,Age,Security,Activity,Protection,Usage,Change,Adoption,Result,Description,Goal
E5,Fast,3.22,0.40,0.61,0.75,0.56,0.91,0.08,0,,1
E5,Fast,3.38,0.38,0.83,0.85,0.41,0.11,0.35,0,,1
E5,Fast,4.73,0.92,0.95,0.11,0.31,0.57,0.23,0,,1
E5,Fast,1.13,0.22,0.70,0.89,0.41,0.56,0.69,0,,1
E5,Fast,0.65,0.18,0.96,0.73,0.26,0.79,0.30,0,,1
E5,Fast,2.31,0.51,0.12,0.68,0.58,0.98,0.48,0,,1
E5,Fast,1.74,0.54,0.38,0.68,0.41,0.35,0.72,0,,1
E5,Fast,4.08,0.47,0.92,0.89,0.46,0.08,0.84,1,,1
E5,Fast,4.05,0.05,0.11,0.16,0.84,0.79,0.63,1,,1
E5,Fast,4.66,0.03,0.82,0.97,0.55,0.96,0.03,1,,1
E5,Fast,4.17,0.91,0.59,0.06,0.65,0.99,0.33,0,,1
E5,Fast,2.21,0.92,0.23,0.60,0.57,0.71,0.01,1,,1
E5,Fast,2.74,0.57,0.47,0.46,0.29,0.68,0.70,1,,1
E5,Fast,0.54,0.61,0.67,0.66,0.13,0.92,0.28,1,,1
E5,Fast,2.15,0.65,0.42,0.42,0.37,0.04,0.06,0,,1
E5,Fast,1.73,0.70,0.18,0.71,0.14,0.06,0.56,1,,1
E5,Fast,0.50,0.95,0.72,0.78,0.92,0.28,0.80,0,,1
E5,Fast,3.84,0.76,0.40,0.97,0.31,0.12,0.25,0,,1
E5,Fast,2.19,0.34,0.54,0.52,0.76,0.53,0.02,1,,1
E5,Fast,2.85,0.53,0.61,0.58,0.55,0.29,0.95,1,,1
E5,Fast,1.79,0.80,0.74,0.50,0.32,0.56,0.31,0,,1
E5,Fast,2.36,0.27,0.50,0.04,0.31,0.67,0.85,0,,1
E5,Fast,0.41,0.18,0.53,0.62,0.35,0.93,0.69,1,,1
E5,Fast,3.69,0.50,0.25,0.09,0.61,0.83,0.72,0,,1
E5,Fast,0.64,0.22,0.63,0.98,0.66,0.11,0.94,0,,1
E5,Fast,2.18,0.53,0.10,0.49,0.52,0.07,0.26,1,,1
E5,Fast,1.78,0.93,0.42,0.05,0.65,0.85,0.27,1,,1
E5,Fast,0.10,0.88,0.92,0.85,0.49,0.83,0.28,0,,1
E5,Fast,3.16,0.54,0.81,0.64,0.92,0.79,0.27,1,,1
E5,Fast,4.82,0.38,0.46,0.67,0.19,0.76,0.11,1,,1
E5,Fast,2.86,0.69,0.84,0.53,0.33,0.60,0.45,0,,1
E5,Fast,3.80,0.78,0.54,0.43,0.73,0.59,0.89,1,,1
E5,Fast,1.81,0.63,0.71,0.13,0.31,0.94,0.61,1,,1
E5,Fast,0.12,0.41,0.10,0.52,0.17,0.43,0.71,1,,1
E5,Fast,1.22,0.33,0.27,0.53,0.51,0.96,0.95,0,,1
E5,Fast,0.73,0.05,0.13,0.32,0.72,0.50,0.24,1,,1
E5,Fast,3.37,0.06,0.89,0.65,0.65,0.43,0.50,1,,1
E5,Fast,4.53,0.05,0.63,0.02,0.19,0.92,0.77,1,,1
E5,Fast,3.06,0.16,0.76,0.30,0.93,0.85,0.20,1,,1
E5,Fast,1.91,0.65,0.59,0.92,0.50,0.23,0.30,1,,1
E5,Fast,4.93,0.39,0.63,0.49,0.99,0.66,0.31,0,,1
E5,Fast,3.72,0.44,0.73,0.52,0.11,0.89,0.41,1,,1
E5,Fast,0.17,0.76,0.53,0.76,0.01,0.13,0.45,0,,1
